,cnn2016_x,cnn2016_y,cnn2020_x,cnn2020_y,fox2016_x,fox2016_y,fox2020_x,fox2020_y,All,All_p,STORYEMOTIONALFRAMES
conflict,55,85.94000000000001,91,76.47,15,83.33,56,73.68,217,78.34,
economic,3,4.6899999999999995,11,9.24,1,5.56,0,0.0,15,5.42,
human interest,3,4.6899999999999995,12,10.08,1,5.56,17,22.37,33,11.91,
morality,1,1.5599999999999998,0,0.0,1,5.56,0,0.0,2,0.72,
responsibility,2,3.1199999999999997,5,4.2,0,0.0,3,3.95,10,3.61,
conflicteconomichuman interestmoralityresponsibility,64,100.00000000000001,119,99.99,18,100.01,76,100.00000000000001,277,100.0,
0,60,93.75,108,90.75999999999999,16,84.21,55,72.37,239,85.97,negative
1,3,4.6899999999999995,0,0.0,2,10.530000000000001,0,0.0,5,1.8,neutral
2,1,1.5599999999999998,11,9.24,1,5.26,21,27.63,34,12.23,positive
All,64,100.0,119,99.99999999999999,19,100.0,76,100.0,278,100.0,negativeneutralpositive
