,TWEETBY,cnn2016_x,cnn2016_y,cnn2020_x,cnn2020_y,fox2016_x,fox2016_y,fox2020_x,fox2020_y,All,All_p,TWEETROLETOTHESTORY,STORYROLETOTWEET
0,biden,10,16.39,5,4.46,1,5.88,6,8.33,22,8.4,,
1,trump,51,83.61,107,95.54,16,94.12,66,91.67,240,91.6,,
All,bidentrump,61,100.0,112,100.0,17,100.0,72,100.0,262,100.0,,
0,,34,53.12,36,30.25,8,42.11,24,31.580000000000002,102,36.69,illustration,
1,,15,23.44,33,27.73,9,47.370000000000005,3,3.95,60,21.58,non-primary source,
2,,15,23.44,50,42.02,2,10.530000000000001,49,64.47,116,41.73,trigger,
All,,64,100.0,119,100.0,19,100.01,76,100.0,278,100.0,illustrationnon-primary sourcetrigger,
0,,8,12.5,4,3.36,0,0.0,49,64.47,61,21.94,,amplifies the tweet
1,,34,53.12,59,49.58,1,5.26,4,5.26,98,35.25,,ctiticizes the tweet
2,,22,34.38,56,47.06,18,94.74000000000001,23,30.259999999999998,119,42.81,,neutral
All,,64,100.0,119,100.0,19,100.00000000000001,76,99.99000000000001,278,100.0,,amplifies the tweetctiticizes the tweetneutral
