,STORYGENERICFRAMESDOMINANT,trump_x,trump_y,biden_x,biden_y,All,All_p,TWEETGENERICFRAMESDOMINANT,STORYEMOTIONALFRAMES,TWEETEMOTIONALFRAMES,STORYFACTCHECKSTWEET,SENSATIONALISM,TWEETROLETOTHESTORY,STORYROLETOTWEET
0,conflict,117,93.60000000000001,11,57.89,128,88.89,,,,,,,
1,economic,4,3.2,3,15.790000000000001,7,4.86,,,,,,,
2,human interest,0,0.0,4,21.05,4,2.78,,,,,,,
3,morality,1,0.8,1,5.26,2,1.39,,,,,,,
4,responsibility,3,2.4,0,0.0,3,2.08,,,,,,,
All,conflicteconomichuman interestmoralityresponsibility,125,100.00000000000001,19,99.99000000000001,144,100.0,,,,,,,
0,,103,78.63,8,42.11,111,74.0,conflict,,,,,,
1,,1,0.76,1,5.26,2,1.33,economic,,,,,,
2,,16,12.21,7,36.84,23,15.33,human interest,,,,,,
3,,3,2.29,1,5.26,4,2.67,morality,,,,,,
4,,8,6.11,2,10.530000000000001,10,6.67,responsibility,,,,,,
All,,131,100.0,19,100.00000000000001,150,100.0,conflicteconomichuman interestmoralityresponsibility,,,,,,
0,,129,98.47,14,73.68,143,95.33,,negative,,,,,
1,,1,0.76,4,21.05,5,3.33,,neutral,,,,,
2,,1,0.76,1,5.26,2,1.33,,positive,,,,,
All,,131,99.99000000000001,19,99.99000000000001,150,99.99,,negativeneutralpositive,,,,,
0,,113,86.26,9,47.370000000000005,122,81.33,,,negative,,,,
1,,2,1.53,4,21.05,6,4.0,,,neutral,,,,
2,,16,12.21,6,31.580000000000002,22,14.67,,,positive,,,,
All,,131,100.0,19,100.0,150,100.0,,,negativeneutralpositive,,,,
0,,79,60.309999999999995,17,89.47,96,64.0,,,,no,,,
1,,52,39.69,2,10.530000000000001,54,36.0,,,,yes,,,
All,,131,100.0,19,100.0,150,100.0,,,,noyes,,,
0,,91,69.47,16,88.89,107,71.81,,,,,no,,
1,,40,30.53,2,11.110000000000001,42,28.19,,,,,yes,,
All,,131,100.0,18,100.0,149,100.0,,,,,noyes,,
0,,56,42.75,9,47.370000000000005,65,43.33,,,,,,illustration,
1,,24,18.32,8,42.11,32,21.33,,,,,,non-primary source,
2,,51,38.93,2,10.530000000000001,53,35.33,,,,,,trigger,
All,,131,100.0,19,100.01,150,99.99,,,,,,illustrationnon-primary sourcetrigger,
0,,22,16.79,4,21.05,26,17.33,,,,,,,amplifies the tweet
1,,65,49.62,1,5.26,66,44.0,,,,,,,ctiticizes the tweet
2,,44,33.589999999999996,14,73.68,58,38.67,,,,,,,neutral
All,,131,100.0,19,99.99000000000001,150,100.0,,,,,,,amplifies the tweetctiticizes the tweetneutral
