,STORYNUMBER,CODER,YEAR,PUBLICATIONDATE,URL,PUBLISHER,STORYTYPE,STORYTOPIC,STORYGENERICFRAMESDOMINANT,STORYEMOTIONALFRAMES,STORYCONTAINSFALSESTATEMENT,STORYCLAIMSANOTHERSOURCEISFALSE,STORYFACTCHECKSTWEET,SENSATIONALISM,src_expert,src_opponent,src_otherpolitician,src_privatecitizen,src_media,src_other,NUMBEROFTWEETSBYCANDIDATES,NUMBEROFTWEETSFROMOTHERS,TWEETBY,TWEETPRESENTATION,TWEETGENERICFRAMESDOMINANT,TWEETEMOTIONALFRAMES,TWEETCONTAINSFALSESTATEMENT,TWEETCLAIMSSOMETHINGELSEISFALSE,TWEETTOPIC,TWEETROLETOTHESTORY,STORYROLETOTWEET,filter_$,SRC_TOTAL,PUBLISHERYEAR
0,1,1,2020,9/7/20,https://www.foxnews.com/politics/trump-thanks-john-kelly-aide-denies-atlantic-story,fox,hard news,media,conflict,negative,no,yes,no,no,no,no,yes,no,yes,no,1,1,trump,embedded_cited,conflict,negative,no,yes,media,trigger,amplifies the tweet,Not Selected,2,fox2020
1,2,1,2020,9/8/20,https://www.foxnews.com/media/trump-tweets-joe-rogan-biden-dying-battery,fox,soft news,attack,conflict,negative,no,no,no,yes,no,no,no,yes,yes,no,1,1,trump,embedded,conflict,negative,no,no,attack,trigger,amplifies the tweet,Not Selected,2,fox2020
2,3,1,2020,9/9/20,https://www.foxnews.com/politics/trump-rips-cuomo-rochester-mayor-after-mass-police-department-resignations,fox,hard news,attack,conflict,negative,no,no,no,yes,no,no,yes,no,no,yes,1,0,trump,embedded_cited,conflict,negative,no,no,attack,trigger,amplifies the tweet,Not Selected,2,fox2020
3,4,1,2020,9/12/20,https://www.foxnews.com/politics/twitter-trump-tweet-voting-north-carolina-voting-illegal,fox,hard news,media,conflict,negative,no,yes,no,no,yes,no,yes,no,yes,yes,1,1,trump,embedded_cited,conflict,negative,yes,no,call to action,trigger,amplifies the tweet,Not Selected,4,fox2020
4,5,1,2020,9/13/20,https://www.foxnews.com/politics/trump-slams-bill-de-blasio-for-telling-new-yorkers-to-enjoy-beautiful-day-in-nyc,fox,soft news,attack,conflict,negative,no,no,no,yes,yes,no,yes,no,no,yes,1,1,trump,embedded_cited,conflict,negative,no,no,attack,trigger,amplifies the tweet,Not Selected,3,fox2020
5,6,1,2020,9/15/20,https://www.foxnews.com/politics/trump-says-if-weak-biden-can-vote-in-person-any-american-can-do-it,fox,soft news,attack,conflict,negative,yes,no,no,yes,no,no,yes,no,no,no,1,0,trump,embedded_cited,conflict,negative,no,no,attack,trigger,amplifies the tweet,Not Selected,1,fox2020
6,7,1,2020,9/16/20,https://www.foxnews.com/media/trump-cnbc-jim-cramer-crazy-nancy-pelosi,fox,soft news,attack,conflict,negative,no,no,no,yes,no,no,no,no,no,no,1,0,trump,embedded_cited,conflict,negative,no,no,attack,trigger,amplifies the tweet,Not Selected,0,fox2020
7,8,1,2020,9/16/20,https://www.foxnews.com/politics/trump-campaign-asks-twitter-to-mark-biden-coronavirus-ad-as-manipulated-media-but-company-declines,fox,hard news,attack,conflict,negative,no,yes,no,no,no,no,yes,no,yes,no,2,0,trump,embedded_cited,conflict,negative,no,no,attack,trigger,amplifies the tweet,Not Selected,2,fox2020
8,8,1,2020,9/16/20,https://www.foxnews.com/politics/trump-campaign-asks-twitter-to-mark-biden-coronavirus-ad-as-manipulated-media-but-company-declines,fox,hard news,attack,conflict,negative,no,yes,no,no,no,no,no,no,no,no,2,0,biden,embedded,conflict,negative,no,yes,attack,trigger,ctiticizes the tweet,Not Selected,0,fox2020
9,9,1,2020,9/17/20,https://www.foxnews.com/politics/bail-fund-backed-by-kamala-harris-and-biden-staffers-bailed-out-alleged-child-abuser,fox,soft news,attack,conflict,negative,yes,no,no,yes,no,no,no,no,no,yes,1,0,harris,embedded_cited,economic,positive,no,no,call to action,trigger,ctiticizes the tweet,Not Selected,1,fox2020
