PUBLISHER,cnn,cnn,cnn,cnn,cnn,cnn,cnn,cnn,fox,fox,fox,fox,fox,fox,fox,fox
YEAR,2016,2016,2016,2016,2020,2020,2020,2020,2016,2016,2016,2016,2020,2020,2020,2020
,49.0,60,49.0,60,18.0,26,18.0,26,41.0,14,41.0,14,36.0,43,36.0,43
4.0,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1
editorial,7.000000000000001,9,7.000000000000001,9,37.0,53,37.0,53,6.0,2,6.0,2,2.0,2,2.0,2
hard news,4.0,5,4.0,5,7.000000000000001,10,7.000000000000001,10,15.0,5,15.0,5,21.0,25,21.0,25
soft news,40.0,49,40.0,49,38.0,54,38.0,54,38.0,13,38.0,13,41.0,49,41.0,49
,49.0,60,49.0,60,17.0,25,17.0,25,41.0,14,41.0,14,36.0,43,36.0,43
attack,14.000000000000002,17,14.000000000000002,17,16.0,23,16.0,23,24.0,8,24.0,8,18.0,22,18.0,22
campaign event or info,5.0,6,5.0,6,4.0,6,4.0,6,18.0,6,18.0,6,2.0,2,2.0,2
character traits,4.0,5,4.0,5,3.0,4,3.0,4,0.0,0,0.0,0,0.0,0,0.0,0
covid,0.0,0,0.0,0,23.0,33,23.0,33,0.0,0,0.0,0,13.0,16,13.0,16
endorsement,2.0,2,2.0,2,1.0,1,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1
horserace,2.0,3,2.0,3,6.0,9,6.0,9,6.0,2,6.0,2,2.0,2,2.0,2
media,6.0,7,6.0,7,4.0,6,4.0,6,3.0,1,3.0,1,13.0,16,13.0,16
other,4.0,5,4.0,5,3.0,4,3.0,4,6.0,2,6.0,2,6.0,7,6.0,7
policy issue,10.0,12,10.0,12,20.0,29,20.0,29,0.0,0,0.0,0,8.0,9,8.0,9
scandal,5.0,6,5.0,6,3.0,4,3.0,4,3.0,1,3.0,1,2.0,2,2.0,2
,49.0,60,49.0,60,17.0,25,17.0,25,44.0,15,44.0,15,36.0,43,36.0,43
conflict,44.0,54,44.0,54,63.0,91,63.0,91,47.0,16,47.0,16,48.0,57,48.0,57
economic,2.0,3,2.0,3,8.0,11,8.0,11,3.0,1,3.0,1,0.0,0,0.0,0
human interest,2.0,3,2.0,3,8.0,12,8.0,12,3.0,1,3.0,1,14.000000000000002,17,14.000000000000002,17
morality,1.0,1,1.0,1,0.0,0,0.0,0,3.0,1,3.0,1,0.0,0,0.0,0
responsibility,2.0,2,2.0,2,3.0,5,3.0,5,0.0,0,0.0,0,2.0,3,2.0,3
,49.0,60,49.0,60,17.0,25,17.0,25,41.0,14,41.0,14,36.0,43,36.0,43
3.0,2.0,3,2.0,3,0.0,0,0.0,0,6.0,2,6.0,2,0.0,0,0.0,0
negative,48.0,59,48.0,59,75.0,108,75.0,108,50.0,17,50.0,17,47.0,56,47.0,56
positive,1.0,1,1.0,1,8.0,11,8.0,11,3.0,1,3.0,1,18.0,21,18.0,21
,49.0,60,49.0,60,19.0,27,19.0,27,41.0,14,41.0,14,36.0,43,36.0,43
no,41.0,50,41.0,50,80.0,115,80.0,115,53.0,18,53.0,18,49.0,59,49.0,59
yes,11.0,13,11.0,13,1.0,2,1.0,2,6.0,2,6.0,2,15.0,18,15.0,18
