,cnn,fox
attack,54.0,44.0
campaign event or info,2.0,12.0
character traits,2.0,0.0
endorsement,4.0,0.0
horserace,1.0,6.0
media,7.000000000000001,12.0
other,11.0,18.0
policy issue,17.0,3.0
scandal,2.0,6.0
cited,24.0,59.0
cited_linked,7.000000000000001,0.0
cited_paraphrased,6.0,0.0
embedded,13.0,24.0
embedded_cited,36.0,6.0
embedded_paraphrased,5.0,0.0
linked,1.0,0.0
paraphrased,7.000000000000001,12.0
paraphrased_linked,2.0,0.0
illustration,46.0,38.0
non-primary source,16.0,41.0
trigger,37.0,21.0
amplifies the tweet,21.0,0.0
ctiticizes the tweet,54.0,3.0
neutral,25.0,97.0
conflict,76.0,59.0
economic,1.0,3.0
human interest,11.0,38.0
morality,3.0,0.0
responsibility,8.0,0.0
3.0,4.0,6.0
negative,85.0,59.0
positive,11.0,35.0
