,biden,harris,pence,trump
attack,21.0,0.0,17.0,56.99999999999999
call to action,0.0,0.0,0.0,0.0
campaign event or info,11.0,0.0,0.0,4.0
character traits,5.0,0.0,0.0,2.0
covid,0.0,0.0,0.0,0.0
endorsement,5.0,0.0,33.0,2.0
horserace,0.0,0.0,0.0,2.0
media,0.0,0.0,0.0,9.0
other,26.0,0.0,33.0,9.0
policy issue,16.0,0.0,0.0,15.0
scandal,16.0,0.0,17.0,1.0
cited,26.0,0.0,50.0,32.0
cited_linked,5.0,0.0,0.0,6.0
cited_paraphrased,11.0,0.0,0.0,4.0
embedded,21.0,0.0,17.0,15.0
embedded_cited,32.0,0.0,33.0,28.000000000000004
embedded_paraphrased,5.0,0.0,0.0,4.0
linked,0.0,0.0,0.0,1.0
paraphrased,0.0,0.0,0.0,9.0
paraphrased_linked,0.0,0.0,0.0,2.0
conflict,42.0,0.0,33.0,79.0
economic,5.0,0.0,0.0,1.0
human interest,37.0,0.0,67.0,12.0
morality,5.0,0.0,0.0,2.0
responsibility,11.0,0.0,0.0,6.0
3.0,21.0,0.0,17.0,2.0
negative,47.0,0.0,17.0,86.0
positive,32.0,0.0,67.0,12.0
illustration,47.0,0.0,67.0,43.0
non-primary source,42.0,0.0,33.0,18.0
trigger,11.0,0.0,0.0,39.0
amplifies the tweet,21.0,0.0,0.0,17.0
ctiticizes the tweet,5.0,0.0,0.0,50.0
neutral,74.0,0.0,100.0,34.0
