,biden,harris,pence,trump
attack,4,0,1,75
call to action,0,0,0,0
campaign event or info,2,0,0,5
character traits,1,0,0,2
covid,0,0,0,0
endorsement,1,0,2,2
horserace,0,0,0,3
media,0,0,0,12
other,5,0,2,12
policy issue,3,0,0,19
scandal,3,0,1,1
cited,5,0,3,42
cited_linked,1,0,0,8
cited_paraphrased,2,0,0,5
embedded,4,0,1,19
embedded_cited,6,0,2,37
embedded_paraphrased,1,0,0,5
linked,0,0,0,1
paraphrased,0,0,0,12
paraphrased_linked,0,0,0,2
conflict,8,0,2,103
economic,1,0,0,1
human interest,7,0,4,16
morality,1,0,0,3
responsibility,2,0,0,8
3.0,4,0,1,2
negative,9,0,1,113
positive,6,0,4,16
illustration,9,0,4,56
non-primary source,8,0,2,24
trigger,2,0,0,51
amplifies the tweet,4,0,0,22
ctiticizes the tweet,1,0,0,65
neutral,14,0,6,44
