,Participant,Pphone,Date,VRTime,FPSTime,Birth,BA2,BA3,BA4,AIA1,AIA2,AIA3,Session,SameRm,SameVR,SameNot,SameR,SpaceInv1,SpaceInv2,SpaceInv3,SpaceInv4,SpaceInv5,TempInv1,MC1,TempInv2,TempInv3,TempInv4,DynImm1,DynImm2,DynImm3,DynImm4,DynImm5,RealImm1,RealImm2,RealImm3,RealImm4,CoPresence1,CoPresence2,CoPresence3,CoPresence4,Auto1,Auto2,Auto3,Comp1,MC2,Comp2,Comp3,WP1,WP2,UWP4,BI1,BI2,BI3,PV1,PV2,BP1,BP2,BP3,MC3,Dur,Point,Age,GroupH0A1,AIA,BA_Pre,SpaceInv,TempInv,DynImm,RealImm,CoPresence,Auto,Comp,Enjoyment,WP,BI,BP,BA_Post
0,1,5977.0,20220524.0,10.0,,2000.0,1.0,1.0,1.0,4.0,3.0,3.0,1.5,4.0,4.0,5.0,1.0,4.0,4.0,3.0,4.0,3.0,2.5,2.0,4.0,3.5,4.5,5.0,2.0,5.0,4.0,3.0,2.0,3.0,3.5,4.0,2.5,2.5,2.0,2.0,4.0,4.0,2.0,3.0,1.0,3.0,4.0,2.5,3.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,4.0,2.0,2.5,189.5,4.5,22.0,0.0,0.3333333333333335,-2.0,3.5999999999999996,3.625,3.8,3.125,2.25,3.3333333333333335,3.333333333333333,2.9000000000000004,3.0,3.5,3.3333333333333335,3.277777777777778
1,2,3518.0,20220524.0,,60.0,2002.0,5.0,2.0,1.0,5.0,2.0,1.0,1.5,4.5,4.0,2.0,1.0,5.0,3.5,4.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,3.0,4.0,4.5,4.5,2.0,3.5,4.0,4.0,5.0,3.5,3.5,2.5,4.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,2.5,3.5,2.0,4.5,4.0,3.0,3.5,3.5,5.0,5.0,3.5,2.5,176.0,4.5,20.0,1.0,-0.3333333333333335,-0.3333333333333335,4.5,5.0,3.6,4.125,3.375,5.0,4.0,4.05,2.666666666666667,3.833333333333333,4.5,3.6666666666666665
2,3,7245.0,20220524.0,,,1999.0,5.0,2.0,1.0,4.0,3.0,2.0,1.5,2.0,3.5,3.5,2.5,3.5,1.5,3.5,3.5,3.5,2.5,2.0,2.5,3.5,3.0,4.0,3.5,4.0,4.5,1.5,2.5,4.0,4.0,3.0,2.0,2.0,4.0,2.5,3.5,3.5,2.5,1.5,3.0,2.5,4.0,3.5,4.0,4.5,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,343.5,4.5,23.0,0.0,0.0,-0.3333333333333335,3.0999999999999996,2.875,3.5,3.375,2.625,3.166666666666667,2.666666666666667,2.8,4.0,3.3333333333333335,4.0,3.7777777777777777
3,4,,20220525.0,,200.0,1999.0,1.0,1.0,1.0,5.0,5.0,3.0,1.5,5.0,5.0,1.0,2.0,5.0,4.0,5.0,5.0,4.5,4.5,1.0,4.0,5.0,5.0,4.0,3.0,4.5,5.0,4.5,4.5,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,3.5,3.5,1.0,4.0,2.0,2.5,3.5,4.0,2.0,4.5,5.0,4.5,4.5,3.5,3.5,5.0,4.5,1.0,515.0,4.5,23.0,1.0,1.333333333333333,-2.0,4.7,4.625,4.2,4.375,5.0,3.333333333333333,1.8333333333333335,3.55,3.166666666666667,4.666666666666666,4.333333333333334,4.055555555555555
4,5,8704.0,20220526.0,,,1999.0,5.0,1.0,1.0,4.0,1.0,1.0,1.5,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,3.5,5.0,5.0,5.0,5.0,4.5,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,1.5,5.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,258.0,4.5,23.0,1.0,-1.0,-0.6666666666666665,5.0,5.0,4.7,4.625,5.0,5.0,4.833333333333334,4.95,4.833333333333334,5.0,5.0,4.944444444444445
5,6,9118.0,20220526.0,,,2001.0,5.0,4.0,2.0,4.0,2.0,1.0,1.5,2.5,4.0,5.0,1.0,5.0,2.0,1.5,3.0,2.0,2.0,3.0,3.5,3.0,5.0,4.5,1.5,5.0,5.0,1.0,2.5,4.5,3.5,4.0,2.5,3.5,1.5,4.0,2.0,1.5,1.0,3.5,1.0,3.0,2.5,4.5,4.5,5.0,4.5,5.0,5.0,1.5,5.0,4.5,5.0,3.0,1.0,213.5,4.5,21.0,1.0,-0.6666666666666665,0.6666666666666665,2.7,3.375,3.4000000000000004,3.625,2.875,1.5,3.0,2.5,4.666666666666666,4.833333333333334,4.166666666666666,4.555555555555555
6,7,1652.0,20220526.0,,60.0,2000.0,1.0,1.0,1.0,3.0,2.0,2.0,1.5,3.0,3.0,3.0,2.5,3.5,4.0,4.0,4.0,2.5,4.0,1.0,3.5,4.5,4.5,1.0,2.5,2.0,3.0,4.5,3.0,3.0,3.0,3.5,2.0,2.5,3.5,2.5,3.0,2.0,1.5,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,1.5,3.0,2.5,2.0,3.0,3.0,2.5,1.0,315.0,4.5,22.0,1.0,-0.6666666666666665,-2.0,3.6,4.125,2.6,3.125,2.625,2.1666666666666665,1.6666666666666667,2.2,3.0,2.166666666666667,2.8333333333333335,2.666666666666667
7,8,5464.0,20220526.0,30.0,120.0,2002.0,5.0,3.0,3.0,5.0,5.0,3.0,1.5,4.5,4.5,3.0,2.5,4.5,4.5,5.0,5.0,5.0,4.5,2.5,4.5,4.5,4.0,5.0,5.0,5.0,5.0,4.5,4.0,4.5,5.0,5.0,4.0,4.5,4.0,4.5,5.0,5.0,4.5,2.5,4.0,3.5,5.0,4.0,4.0,3.5,4.0,5.0,4.5,4.0,4.0,5.0,5.0,4.5,3.0,212.0,4.5,20.0,0.0,1.333333333333333,0.6666666666666665,4.8,4.375,4.9,4.625,4.25,4.833333333333334,3.666666666666667,4.25,3.833333333333333,4.5,4.833333333333334,4.388888888888889
8,9,5185.0,20220526.0,,,2001.0,1.0,1.0,1.0,4.0,3.0,3.0,1.5,3.5,4.0,3.0,2.0,4.0,2.0,2.5,2.5,3.5,4.0,2.5,3.5,4.0,4.0,4.0,2.5,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.5,3.0,3.0,4.0,4.0,3.0,1.0,4.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,301.0,4.5,21.0,0.0,0.3333333333333335,-2.0,2.9000000000000004,3.875,3.3,3.25,3.125,3.6666666666666665,1.3333333333333333,2.75,2.6666666666666665,4.0,3.3333333333333335,3.3333333333333335
9,10,51.0,20220527.0,,,1998.0,5.0,2.0,2.0,4.0,3.0,2.0,1.5,3.5,3.5,4.5,1.5,4.0,2.0,2.5,4.0,4.0,4.5,2.0,4.0,4.5,4.5,3.5,2.0,2.5,4.0,2.0,3.0,2.5,3.0,4.0,3.5,3.5,2.5,2.5,2.5,3.0,2.5,2.5,2.0,3.0,4.0,3.0,3.0,4.0,2.0,3.5,3.0,1.5,1.5,4.5,3.0,3.0,2.0,207.0,4.5,24.0,0.0,0.0,0.0,3.3,4.375,2.8,3.125,3.0,2.6666666666666665,3.1666666666666665,2.95,3.333333333333333,2.8333333333333335,3.5,3.2222222222222223
10,11,7380.0,20220527.0,,,2001.0,5.0,3.0,4.0,4.0,2.0,1.0,1.5,4.0,4.0,5.0,1.0,4.0,3.0,3.0,4.0,4.0,5.0,2.0,4.0,4.0,4.5,5.0,4.5,5.0,5.0,3.0,4.5,4.0,4.0,4.0,4.0,3.5,3.5,3.5,4.0,4.0,3.5,4.0,1.5,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.5,306.5,4.5,21.0,1.0,-0.6666666666666665,1.0,3.6,4.375,4.5,4.125,3.625,3.833333333333333,4.0,3.8,4.333333333333333,4.0,3.666666666666667,4.0
