"","Original Est.","Bootstrap Mean","Bootstrap SD","T Stat.","2.5% CI","97.5% CI"
"comp_1  ->  COMP",0.857718793612677,0.857652127931978,0.0207346918069526,41.3663632716775,0.812535297186935,0.895019185052812
"comp_2  ->  COMP",0.79845255449099,0.796822541454385,0.0288152971420745,27.7093291994944,0.73001016734256,0.842866888767573
"comp_3  ->  COMP",0.817641078136601,0.814094035562831,0.0311528750130376,26.2460873288394,0.746223012700557,0.865529744456194
"like_1  ->  LIKE",0.879326326350002,0.879677115608798,0.0172118606752997,51.088394389103,0.8425527178052,0.909654157793532
"like_2  ->  LIKE",0.870239287241135,0.868566625056656,0.0183486910502895,47.4278674623716,0.830019115184537,0.900239753856606
"like_3  ->  LIKE",0.843036435751,0.841894931213078,0.0203548193470439,41.4170433732409,0.798546007506747,0.878762238656238
"cusa  ->  CUSA",0.999999999999997,1,2.79804654446429e-15,NA,0.999999999999994,1.00000000000001
"cusl_1  ->  CUSL",0.832827190569313,0.831662374389794,0.0235720385458107,35.3311483413184,0.780245654569095,0.87368872890667
"cusl_2  ->  CUSL",0.917273194577699,0.917053957950154,0.0103211070344858,88.8735279571097,0.894110864865039,0.935441580855989
"cusl_3  ->  CUSL",0.842769528242402,0.841757460915116,0.0226954361554311,37.133876717356,0.792819877999417,0.881050914250824
