Variable,Source,ddof1,ddof2,F,p-unc,np2
Shots,Platform,2,120,0.6326511540977477,0.5329439496030759,0.010434166114390518
Animation,Platform,2,123,0.44639865996649924,0.6409611953597657,0.007206208425720622
Filters,Platform,2,123,3.762906309751433,0.0259319635981472,0.05765765765765765
EditsStyle,Platform,2,123,0.48191681735985525,0.6187595923488088,0.007775119617224879
Broll,Platform,2,123,0.3967741935483871,0.6733434481836773,0.006410256410256411
NatSound,Platform,2,123,1.1468531468531478,0.3210074381525592,0.01830663615560642
Audio,Platform,2,123,0.2666666666666661,0.7663700028981896,0.0043173232595790515
Music,Platform,2,123,0.7854406130268201,0.4581918357982292,0.012610340479192942
Narration,Platform,2,123,0.0,1.0,0.0
Humor,Platform,2,123,0.25855855855855836,0.7725824375326223,0.004186602870813394
Sourcing,Platform,2,123,0.8752052545155989,0.4193555296901883,0.014031300593631942
