Variable,Value,Mean,Standard Deviation
Shots,CNN,0.6428571428571429,0.4972451580988469
Shots,GoodMorning BadNews,1.0,0.0
Shots,NPR,6.588235294117647,23.817165090353985
Shots,Tampa Bay Times,0.75,0.4472135954999579
Shots,The Washington Post,10.19047619047619,29.52730778045816
Shots,UnderTheDeskNews,0.5625,0.51234753829798
Animation,CNN,0.8571428571428571,0.36313651960128146
Animation,GoodMorning BadNews,0.0625,0.25
Animation,NPR,0.11764705882352941,0.3321055820775357
Animation,Tampa Bay Times,0.75,0.4472135954999579
Animation,The Washington Post,0.42857142857142855,0.50709255283711
Animation,UnderTheDeskNews,0.0,0.0
Filters,CNN,0.0,0.0
Filters,GoodMorning BadNews,0.25,0.4472135954999579
Filters,NPR,0.0,0.0
Filters,Tampa Bay Times,0.0,0.0
Filters,The Washington Post,0.047619047619047616,0.21821789023599236
Filters,UnderTheDeskNews,0.5625,0.5123475382979799
EditsStyle,CNN,0.7142857142857143,0.4688072309384954
EditsStyle,GoodMorning BadNews,1.0,0.0
EditsStyle,NPR,0.6470588235294118,0.492592183071889
EditsStyle,Tampa Bay Times,0.8125,0.4031128874149275
EditsStyle,The Washington Post,0.7619047619047619,0.4364357804719847
EditsStyle,UnderTheDeskNews,0.125,0.3415650255319866
Broll,CNN,0.7142857142857143,0.4688072309384954
Broll,GoodMorning BadNews,1.0,0.0
Broll,NPR,0.7647058823529411,0.43723731609760313
Broll,Tampa Bay Times,0.8125,0.4031128874149275
Broll,The Washington Post,0.47619047619047616,0.511766315719159
Broll,UnderTheDeskNews,0.0,0.0
NatSound,CNN,0.6428571428571429,0.4972451580988469
NatSound,GoodMorning BadNews,0.0625,0.24999999999999997
NatSound,NPR,0.7058823529411765,0.46966821831386213
NatSound,Tampa Bay Times,0.8125,0.4031128874149275
NatSound,The Washington Post,0.38095238095238093,0.49761335152811925
NatSound,UnderTheDeskNews,0.0,0.0
Audio,CNN,1.0,0.0
Audio,GoodMorning BadNews,1.0,0.0
Audio,NPR,0.7058823529411765,0.46966821831386213
Audio,Tampa Bay Times,0.8125,0.40311288741492746
Audio,The Washington Post,0.7142857142857143,0.4629100498862757
Audio,UnderTheDeskNews,0.8125,0.4031128874149275
Music,CNN,0.2857142857142857,0.4688072309384954
Music,GoodMorning BadNews,1.0,0.0
Music,NPR,0.17647058823529413,0.3929526239966879
Music,Tampa Bay Times,0.625,0.5
Music,The Washington Post,0.6666666666666666,0.48304589153964794
Music,UnderTheDeskNews,0.0625,0.24999999999999997
Narration,CNN,0.6428571428571429,0.4972451580988469
Narration,GoodMorning BadNews,1.0,0.0
Narration,NPR,0.4117647058823529,0.5072996561958923
Narration,Tampa Bay Times,0.375,0.5
Narration,The Washington Post,0.38095238095238093,0.49761335152811936
Narration,UnderTheDeskNews,0.1875,0.40311288741492746
Humor,CNN,0.0,0.0
Humor,GoodMorning BadNews,0.75,0.44721359549995787
Humor,NPR,0.0,0.0
Humor,Tampa Bay Times,0.0625,0.25
Humor,The Washington Post,0.42857142857142855,0.50709255283711
Humor,UnderTheDeskNews,0.6666666666666666,0.4879500364742666
Sourcing,CNN,0.8571428571428571,0.36313651960128146
Sourcing,GoodMorning BadNews,0.9375,0.24999999999999997
Sourcing,NPR,1.0,0.0
Sourcing,Tampa Bay Times,0.9375,0.25
Sourcing,The Washington Post,0.8571428571428571,0.35856858280031806
Sourcing,UnderTheDeskNews,0.6875,0.47871355387816905
Decorum,CNN,22.428571428571427,41.500165496823456
Decorum,GoodMorning BadNews,39.6875,47.45203718844253
Decorum,NPR,47.705882352941174,49.85198680328894
Decorum,Tampa Bay Times,38.625,48.305796753598834
Decorum,The Washington Post,25.523809523809526,42.10417918404187
Decorum,UnderTheDeskNews,10.3125,23.671977103740193
Language,CNN,1.4285714285714286,0.7559289460184544
Language,GoodMorning BadNews,4.25,0.8563488385776752
Language,NPR,41.76470588235294,49.36285219140592
Language,Tampa Bay Times,20.125,39.137151999943306
Language,The Washington Post,16.285714285714285,34.61812077098186
Language,UnderTheDeskNews,15.5,32.61901286060017
