Variable,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
Shots,Publisher,CNN,GoodMorning BadNews,False,True,-2.6874192494328497,13.0,two-sided,0.018635566715349473,0.2795335007302421,bonf,4.443,-1.025603565460015
Shots,Publisher,CNN,NPR,False,True,-1.0289611464987363,16.016935779192707,two-sided,0.31878687513869386,1.0,bonf,0.51,-0.32724401855354285
Shots,Publisher,CNN,Tampa Bay Times,False,True,-0.6169372585619639,26.436845584535824,two-sided,0.5425533243478884,1.0,bonf,0.399,-0.22128267217978795
Shots,Publisher,CNN,The Washington Post,False,True,-1.4814552130280656,20.017013544911052,two-sided,0.1540563768459873,1.0,bonf,0.762,-0.40579982301631606
Shots,Publisher,CNN,UnderTheDeskNews,False,True,0.435368013602979,27.67400548454879,two-sided,0.6666721437319278,1.0,bonf,0.371,0.15470239329822563
Shots,Publisher,GoodMorning BadNews,NPR,False,True,-0.9674066704010568,16.0,two-sided,0.3477374364917132,1.0,bonf,0.476,-0.3186262902290156
Shots,Publisher,GoodMorning BadNews,Tampa Bay Times,False,True,2.23606797749979,30.0,two-sided,0.03293630592563783,0.4940445888845674,bonf,2.111,0.7706390936544789
Shots,Publisher,GoodMorning BadNews,The Washington Post,False,True,-1.4263424599590444,20.0,two-sided,0.16919370376625184,1.0,bonf,0.704,-0.40286291955790227
Shots,Publisher,GoodMorning BadNews,UnderTheDeskNews,False,True,3.415650255319866,30.0,two-sided,0.0018459436946069196,0.027689155419103793,bonf,18.891,1.1771706600546044
Shots,Publisher,NPR,Tampa Bay Times,False,True,1.0104961368564949,16.011987352892636,two-sided,0.3272849044045343,1.0,bonf,0.492,0.33282562308483393
Shots,Publisher,NPR,The Washington Post,False,True,-0.4162693428165177,35.999808967229924,two-sided,0.6796843070950289,1.0,bonf,0.339,-0.1299522046003603
Shots,Publisher,NPR,UnderTheDeskNews,False,True,1.0428880799815523,16.0157333375743,two-sided,0.3124873768291916,1.0,bonf,0.505,0.3434968730990406
Shots,Publisher,Tampa Bay Times,The Washington Post,False,True,-1.4649214184996224,20.01204258585448,two-sided,0.15847703932546062,1.0,bonf,0.734,-0.4137860324177573
Shots,Publisher,Tampa Bay Times,UnderTheDeskNews,False,True,1.1028219331407116,30.0,two-sided,0.2788730361382679,1.0,bonf,0.534,0.3800768597241442
Shots,Publisher,The Washington Post,UnderTheDeskNews,False,True,1.4939463841475413,20.015805644685035,two-sided,0.15078758667667594,1.0,bonf,0.759,0.4219930132910056
Animation,Publisher,CNN,GoodMorning BadNews,False,True,6.8838566765115,22.64327808104167,two-sided,5.557153628097401e-07,8.3357304421461e-06,bonf,5.687e+04,2.512364007576828
Animation,Publisher,CNN,NPR,False,True,5.863284977462633,26.76066903431912,two-sided,3.1399967032834007e-06,4.709995054925101e-05,bonf,5608.281,2.079352898740556
Animation,Publisher,CNN,Tampa Bay Times,False,True,0.723687958594381,27.866159500455677,two-sided,0.4752890820378154,1.0,bonf,0.421,0.2540592816650724
Animation,Publisher,CNN,The Washington Post,False,True,2.9117453304788206,32.77102692399333,two-sided,0.006420583849462955,0.09630875774194433,bonf,7.071,0.9186440361937226
