Case,Platform,Publisher,PubDate,Likes,Comments,Saves,Shots,Graphics,EditsStyle,Broll,NatSound,Audio,Music,Narration,Humor,Offensive,Sourcing,Fairness,Agenda,MediaIntegrity,Decorum,Language,Topic,Presentation,ExternalVidSource,MediaType,VideoURL,Animation,Filters,Decorum_Z,Language_Z
1.0,YouTube Shorts,The Washington Post,11/1/23,100,11,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,0.0,Hybrid,This high school student is working to unify America | Opinion (youtube.com),0,0,0.25,0.25
2.0,YouTube Shorts,The Washington Post,11/1/23,26,2,,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,5.0,3.0,2.0,7.0,3.0,0.0,Hybrid,Visit one of the tallest timber buildings in the world (youtube.com),0,0,0.5,0.25
3.0,YouTube Shorts,The Washington Post,11/1/23,278,70,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,2.0,2.0,0.0,Hybrid,(5) Rep. George Santos survives vote to expel him - YouTube,1,0,0.25,0.0
4.0,YouTube Shorts,The Washington Post,11/6/23,783,193,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,4.0,,2.0,2.0,3.0,0.0,Hybrid,Trump testifies in his own civil fraud trial (youtube.com),1,0,,0.25
5.0,YouTube Shorts,The Washington Post,11/8/23,277,75,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,2.0,2.0,0.0,Hybrid,Abortion on the ballot gives Dems a big night (youtube.com),1,0,0.0,0.0
6.0,YouTube Shorts,The Washington Post,11/8/23,912,105,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,Hybrid,Tlaib calls for Gaza cease-fire in impassioned speech (youtube.com),1,0,0.0,0.25
7.0,YouTube Shorts,The Washington Post,11/9/23,20,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,,2.0,7.0,2.0,1.0,Hybrid,"Hazardous air quality chokes India, Pakistan - YouTube",1,0,,0.25
8.0,Instagram Reels,The Washington Post,11/1/23,2279,35,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,3.0,,,7.0,5.0,0.0,Hybrid,It's better for your health to stop wasting food,1,0,,
9.0,Instagram Reels,The Washington Post,11/3/23,6799,580,,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,3.0,4.0,2.0,3.0,2.0,3.0,1.0,Hybrid,Biden's collabing with influencers,0,0,0.25,0.5
10.0,Instagram Reels,The Washington Post,11/3/23,13831,3046,,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,4.0,2.0,,,1.0,3.0,1.0,Hybrid,Israel strikes ambulance near Gaza City hospital,0,0,,
11.0,Instagram Reels,The Washington Post,11/7/23,22788,120,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,3.0,4.0,,3.0,4.0,4.0,0.0,Hybrid,Think cats are aloof?,1,0,,0.5
12.0,Instagram Reels,The Washington Post,11/9/23,10886,1341,,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,Hybrid,"""…Or do you want Dick Chaney in three-inch heels?""",0,0,0.0,0.25
13.0,Instagram Reels,The Washington Post,11/10/23,37080,349,,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,2.0,4.0,1.0,2.0,4.0,2.0,0.0,Hybrid,The best place to shop? Other people's lost luggage.,1,0,0.0,0.25
14.0,Instagram Reels,The Washington Post,11/13/23,2310,50,,0.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,4.0,4.0,2.0,5.0,4.0,0.0,Hybrid,While experts have long predicted generative artificial intelligence would lead to a tsunami,0,0,0.75,0.25
15.0,TikTok,The Washington Post,11/1/23,2970,113,48.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,5.0,,2.0,5.0,0.0,Hybrid,"""Third-party candidates see some of their best polls since Ross Perot"" ",0,1,1.0,
16.0,TikTok,The Washington Post,11/1/23,13000,67,584.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,4.0,4.0,3.0,5.0,3.0,4.0,0.0,Hybrid,The Food and Drug Administration has issued warnings for 26 over-the-counter eye care,0,0,0.5,1.0
17.0,TikTok,The Washington Post,11/3/23,22100,378,375.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,5.0,4.0,5.0,7.0,4.0,0.0,Hybrid,Reminder to set your clocks back an hour this weekend 🫡,1,0,0.75,1.0
18.0,TikTok,The Washington Post,11/7/23,21800,114,594.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,0.0,Hybrid,"A store manager in Fort Myers, Florida put a skull out for sale in September and thought little of it",0,0,0.75,0.75
19.0,TikTok,The Washington Post,11/8/23,13400,72,311.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,2.0,4.0,4.0,3.0,2.0,4.0,0.0,Hybrid,"Tuesday was Election Day 2023, and The Carmellas™️ break it down.",0,0,0.75,0.5
20.0,TikTok,The Washington Post,11/9/23,2748,109,91.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,Hybrid,GOP presidential candidates speak on TikTok in the third Republican debate.,0,0,0.25,0.25
