Variable,Value,Mean,Standard Deviation
CommLikes,Instagram Reels,163.12686567164178,489.2821005206528
CommLikes,TikTok,331.2633952254642,1154.4650210955388
CommLikes,YouTube Shorts,35.675925925925924,101.8069151673051
CharacterNum,Instagram Reels,123.5075,119.40682525947318
CharacterNum,TikTok,56.33866666666667,39.6388100931038
CharacterNum,YouTube Shorts,86.24537037037037,122.41234159109808
CommLength,Instagram Reels,2.138957816377171,0.8727755837608833
CommLength,TikTok,2.4031830238726792,0.6455992193702452
CommLength,YouTube Shorts,2.2268518518518516,0.7404720658307269
Sentiment,Instagram Reels,2.610126582278481,1.1060051744296648
Sentiment,TikTok,2.843243243243243,0.9944399740967746
Sentiment,YouTube Shorts,2.794392523364486,0.9114639491763031
Focus,Instagram Reels,0.554726368159204,0.4976153105141547
Focus,TikTok,0.47606382978723405,0.5000921900825489
Focus,YouTube Shorts,0.6388888888888888,0.4814384132331299
Alignment,Instagram Reels,2.986547085201794,1.140885623389076
Alignment,TikTok,3.206703910614525,0.934218279558383
Alignment,YouTube Shorts,3.1884057971014492,0.8841732881453714
