Variable,Value,Mean,Standard Deviation
Likes,Instagram Reels,163.12686567164178,489.2821005206528
Likes,TikTok,331.2633952254642,1154.4650210955388
Likes,YouTube Shorts,35.675925925925924,101.8069151673051
Comments,Instagram Reels,884.4047619047619,1700.426360587735
Comments,TikTok,679.0,911.4686085599678
Comments,YouTube Shorts,188.23809523809524,496.61914589988584
MediaIntegrity,Instagram Reels,3.5,1.064963070469307
MediaIntegrity,TikTok,3.357142857142857,0.8502920178852925
MediaIntegrity,YouTube Shorts,3.4047619047619047,0.9385906354489056
Presentation,Instagram Reels,3.142857142857143,1.3893572574576252
Presentation,TikTok,3.1666666666666665,1.1458656684277182
Presentation,YouTube Shorts,3.0714285714285716,1.1768676313004733
