Variable,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
CommLikes,Platform,Instagram Reels,TikTok,False,True,-2.6160546324176446,500.03969975816017,two-sided,0.00916418732118299,0.027492561963548972,bonf,2.274,-0.1916106664334549
CommLikes,Platform,Instagram Reels,YouTube Shorts,False,True,5.024223939668226,462.62375075051006,two-sided,7.233938769071656e-07,2.170181630721497e-06,bonf,1.683e+04,0.3187789008342252
CommLikes,Platform,TikTok,YouTube Shorts,False,True,4.937969091220486,386.15186437155717,two-sided,1.177157886556343e-06,3.531473659669029e-06,bonf,1.119e+04,0.3198820560521144
CharacterNum,Platform,Instagram Reels,TikTok,False,True,10.642306091784143,491.0767068665186,two-sided,6.108839620769872e-24,1.8326518862309618e-23,bonf,3.592e+21,0.7446879139288098
CharacterNum,Platform,Instagram Reels,YouTube Shorts,False,True,3.6360831851543707,431.3376373018448,two-sided,0.000310249659501627,0.000930748978504881,bonf,55.852,0.3089340268624769
CharacterNum,Platform,TikTok,YouTube Shorts,False,True,-3.486872216301565,241.24896154265983,two-sided,0.0005805383433863121,0.0017416150301589363,bonf,33.769,-0.371403526949668
CommLength,Platform,Instagram Reels,TikTok,False,True,-4.8275048222878425,739.3576594421578,two-sided,1.680455472167606e-06,5.041366416502818e-06,bonf,6401.314,-0.34220413368024055
CommLength,Platform,Instagram Reels,YouTube Shorts,False,True,-1.3207687591149864,504.7255570807252,two-sided,0.18717700410142754,0.5615310123042826,bonf,0.219,-0.10588588289413216
CommLength,Platform,TikTok,YouTube Shorts,False,True,2.921061527437076,399.70770229312836,two-sided,0.0036862049214302322,0.011058614764290696,bonf,5.919,0.258357159956321
Sentiment,Platform,Instagram Reels,TikTok,False,True,-3.069035611602691,761.7343219295269,two-sided,0.002223676330399952,0.006671028991199856,bonf,8.014,-0.22105512012903963
Sentiment,Platform,Instagram Reels,YouTube Shorts,False,True,-2.2057236380791747,512.1750016282596,two-sided,0.027846699863326756,0.08354009958998027,bonf,1.004,-0.17663968995792012
Sentiment,Platform,TikTok,YouTube Shorts,False,True,0.6033796066814224,476.79721171560305,two-sided,0.5465431053718658,1.0,bonf,0.114,0.05056244909741284
Focus,Platform,Instagram Reels,TikTok,False,True,2.1977308232559833,772.0064404363325,two-sided,0.02826455082926264,0.08479365248778792,bonf,0.853,0.15754674032429625
Focus,Platform,Instagram Reels,YouTube Shorts,False,True,-2.0478518401152095,452.6987904594009,two-sided,0.04115097016587405,0.12345291049762216,bonf,0.721,-0.17084340502169484
Focus,Platform,TikTok,YouTube Shorts,False,True,-3.9054435955321956,462.3030748442632,two-sided,0.00010807639842297044,0.0003242291952689113,bonf,148.089,-0.32960234863869886
Alignment,Platform,Instagram Reels,TikTok,False,True,-2.1270807239874725,399.83346314077534,two-sided,0.03402499962381772,0.10207499887145316,bonf,0.978,-0.20849841071511527
Alignment,Platform,Instagram Reels,YouTube Shorts,False,True,-1.882194409837416,341.21349920617774,two-sided,0.06066044035276411,0.18198132105829234,bonf,0.651,-0.19178063369815646
Alignment,Platform,TikTok,YouTube Shorts,False,True,0.17822604588305488,302.0827454562435,two-sided,0.8586649158659536,1.0,bonf,0.127,0.01999859098357969
