Variable,Value,Mean,Standard Deviation
CommLikes,CNN,238.45857142857145,626.1803442990414
CommLikes,GoodMorning BadNews,589.3061224489796,1671.5578559897845
CommLikes,NPR,94.49132947976878,236.06765433744843
CommLikes,Tampa Bay Times,3.2475247524752477,7.3666898137413925
CommLikes,UnderTheDeskNews,218.55172413793105,667.0416745414374
CommLikes,Washington Post,35.589473684210525,106.76176264320706
CharacterNum,CNN,87.77403846153847,87.71138386192726
CharacterNum,GoodMorning BadNews,97.08163265306122,115.80448273695505
CharacterNum,NPR,96.83625730994152,97.0892680567334
CharacterNum,Tampa Bay Times,71.03960396039604,73.02970913156908
CharacterNum,UnderTheDeskNews,86.08045977011494,80.42893943135942
CharacterNum,Washington Post,94.31052631578947,136.29781193916529
CommLength,CNN,2.204761904761905,0.7646346911970451
CommLength,GoodMorning BadNews,2.3378378378378377,0.7608986278236178
CommLength,NPR,2.213872832369942,0.8179906791499727
CommLength,Tampa Bay Times,2.2475247524752477,0.7128245309199088
CommLength,UnderTheDeskNews,2.2873563218390807,0.8032887023684991
CommLength,Washington Post,2.2736842105263158,0.755118060963158
Sentiment,CNN,2.665071770334928,1.0754136590603103
Sentiment,GoodMorning BadNews,2.6013986013986012,0.8319319119947336
Sentiment,NPR,2.335294117647059,1.0544025350322113
Sentiment,Tampa Bay Times,3.21,1.1307903734498577
Sentiment,UnderTheDeskNews,3.005813953488372,0.9015716817580401
Sentiment,Washington Post,2.7945945945945945,0.9785598185337896
Focus,CNN,0.46190476190476193,0.4997379126271378
Focus,GoodMorning BadNews,0.46621621621621623,0.5005512680836434
Focus,NPR,0.5895953757225434,0.49333506513334285
Focus,Tampa Bay Times,0.65,0.4793724854411023
Focus,UnderTheDeskNews,0.5229885057471264,0.5009127274892903
Focus,Washington Post,0.6137566137566137,0.4881806911959519
Alignment,CNN,3.0,1.0801234497346432
Alignment,GoodMorning BadNews,3.1884057971014492,0.9436375537816813
Alignment,NPR,2.627450980392157,1.0983477116073437
Alignment,Tampa Bay Times,3.276923076923077,1.0079014756489766
Alignment,UnderTheDeskNews,3.4945054945054945,0.7799376951416109
Alignment,Washington Post,3.189655172413793,0.9409873917137879
