Variable,Value,Mean,Standard Deviation
Likes,CNN,238.45857142857145,626.1803442990414
Likes,GoodMorning BadNews,589.3061224489796,1671.5578559897845
Likes,NPR,94.49132947976878,236.06765433744843
Likes,Tampa Bay Times,3.2475247524752477,7.3666898137413925
Likes,UnderTheDeskNews,218.55172413793105,667.0416745414374
Likes,Washington Post,35.589473684210525,106.76176264320706
Comments,Instagram Reels,884.4047619047619,1700.426360587735
Comments,TikTok,679.0,911.4686085599678
Comments,YouTube Shorts,188.23809523809524,496.61914589988584
MediaIntegrity,Instagram Reels,3.5,1.064963070469307
MediaIntegrity,TikTok,3.357142857142857,0.8502920178852925
MediaIntegrity,YouTube Shorts,3.4047619047619047,0.9385906354489056
Presentation,Instagram Reels,3.142857142857143,1.3893572574576252
Presentation,TikTok,3.1666666666666665,1.1458656684277182
Presentation,YouTube Shorts,3.0714285714285716,1.1768676313004733
