Variable,Value,Mean,Standard Deviation
Shots,CNN,0.6666666666666666,0.48304589153964794
Shots,GoodMorning BadNews,1.0,0.0
Shots,NPR,5.523809523809524,21.421062176323208
Shots,Tampa Bay Times,0.7142857142857143,0.46291004988627577
Shots,The Washington Post,10.19047619047619,29.52730778045816
Shots,UnderTheDeskNews,0.6666666666666666,0.48304589153964794
Animation,CNN,0.8095238095238095,0.4023739080814782
Animation,GoodMorning BadNews,1.0,0.0
Animation,NPR,0.14285714285714285,0.35856858280031806
Animation,Tampa Bay Times,0.8095238095238095,0.40237390808147827
Animation,The Washington Post,0.7619047619047619,0.4364357804719847
Animation,UnderTheDeskNews,0.6666666666666666,0.48304589153964794
Filters,CNN,0.8095238095238095,0.4023739080814782
Filters,GoodMorning BadNews,1.0,0.0
Filters,NPR,0.14285714285714285,0.35856858280031806
Filters,Tampa Bay Times,0.8095238095238095,0.40237390808147827
Filters,The Washington Post,0.7619047619047619,0.4364357804719847
Filters,UnderTheDeskNews,0.6666666666666666,0.48304589153964794
EditsStyle,CNN,0.7619047619047619,0.4364357804719848
EditsStyle,GoodMorning BadNews,1.0,0.0
EditsStyle,NPR,0.6666666666666666,0.48304589153964794
EditsStyle,Tampa Bay Times,0.8571428571428571,0.35856858280031806
EditsStyle,The Washington Post,0.7619047619047619,0.4364357804719847
EditsStyle,UnderTheDeskNews,0.14285714285714285,0.35856858280031806
Broll,CNN,0.7619047619047619,0.4364357804719847
Broll,GoodMorning BadNews,1.0,0.0
Broll,NPR,0.8095238095238095,0.40237390808147827
Broll,Tampa Bay Times,0.8571428571428571,0.35856858280031806
Broll,The Washington Post,0.47619047619047616,0.511766315719159
Broll,UnderTheDeskNews,0.0,0.0
NatSound,CNN,0.5238095238095238,0.511766315719159
NatSound,GoodMorning BadNews,0.047619047619047616,0.21821789023599236
NatSound,NPR,0.7619047619047619,0.43643578047198484
NatSound,Tampa Bay Times,0.8095238095238095,0.4023739080814782
NatSound,The Washington Post,0.38095238095238093,0.49761335152811925
NatSound,UnderTheDeskNews,0.0,0.0
Audio,CNN,1.0,0.0
Audio,GoodMorning BadNews,1.0,0.0
Audio,NPR,0.7619047619047619,0.4364357804719847
Audio,Tampa Bay Times,0.8095238095238095,0.4023739080814782
Audio,The Washington Post,0.7142857142857143,0.4629100498862757
Audio,UnderTheDeskNews,0.8571428571428571,0.3585685828003181
Music,CNN,0.23809523809523808,0.4364357804719847
Music,GoodMorning BadNews,1.0,0.0
Music,NPR,0.14285714285714285,0.35856858280031806
Music,Tampa Bay Times,0.6666666666666666,0.4830458915396479
Music,The Washington Post,0.6666666666666666,0.48304589153964794
Music,UnderTheDeskNews,0.047619047619047616,0.21821789023599236
Narration,CNN,0.6190476190476191,0.4976133515281193
Narration,GoodMorning BadNews,1.0,0.0
Narration,NPR,0.42857142857142855,0.50709255283711
Narration,Tampa Bay Times,0.38095238095238093,0.49761335152811925
Narration,The Washington Post,0.38095238095238093,0.49761335152811936
Narration,UnderTheDeskNews,0.2857142857142857,0.4629100498862757
Humor,CNN,0.0,0.0
Humor,GoodMorning BadNews,0.6190476190476191,0.49761335152811936
Humor,NPR,0.0,0.0
Humor,Tampa Bay Times,0.047619047619047616,0.21821789023599236
Humor,The Washington Post,0.42857142857142855,0.50709255283711
Humor,UnderTheDeskNews,0.6190476190476191,0.4976133515281193
Offensive,CNN,1.1428571428571428,0.35856858280031806
Offensive,GoodMorning BadNews,1.0476190476190477,0.2182178902359924
Offensive,NPR,1.380952380952381,0.4976133515281192
Offensive,Tampa Bay Times,1.0,0.0
Offensive,The Washington Post,1.1904761904761905,0.6796357567879737
Offensive,UnderTheDeskNews,1.0952380952380953,0.30079260375911915
Sourcing,CNN,0.8095238095238095,0.4023739080814782
Sourcing,GoodMorning BadNews,0.9523809523809523,0.21821789023599236
Sourcing,NPR,1.0,0.0
Sourcing,Tampa Bay Times,0.9047619047619048,0.30079260375911915
Sourcing,The Washington Post,0.8571428571428571,0.35856858280031806
Sourcing,UnderTheDeskNews,0.7619047619047619,0.43643578047198484
