Case,Platform,Publisher,VideoURL,PubDate,Likes,Comments,Saves,Shots,Graphics,Animations,Filters,EditsStyle,Broll,NatSound,Audio,Music,Narration,Humor,Offensive,Sourcing,Fairness,Agenda,MediaIntegrity,Decorum,Language,Topic,Presentation,ExternalVidSource,MediaType,Animation,Decorum_Z,Language_Z
1,YouTube Shorts,The Washington Post,This high school student is working to unify America | Opinion (youtube.com),11/1/23,100,11,,1,1,1,1,1,1,1,1,1,0,1,1,0,2,3,3,2,2,2,3,0,Hybrid,1,0.75,0.75
2,YouTube Shorts,The Washington Post,Visit one of the tallest timber buildings in the world (youtube.com),11/1/23,26,2,,1,0,0,0,1,1,1,1,1,1,0,1,1,4,2,5,3,2,7,3,0,Hybrid,0,0.5,0.75
3,YouTube Shorts,The Washington Post,(5) Rep. George Santos survives vote to expel him - YouTube,11/1/23,278,70,,1,1,1,1,1,1,1,1,1,1,0,1,1,4,2,4,2,1,2,2,0,Hybrid,1,0.75,1.0
4,YouTube Shorts,The Washington Post,Trump testifies in his own civil fraud trial (youtube.com),11/6/23,783,193,,1,1,1,1,1,1,0,1,1,1,0,1,1,4,3,4,-93,2,2,3,0,Hybrid,1,24.5,0.75
5,YouTube Shorts,The Washington Post,Abortion on the ballot gives Dems a big night (youtube.com),11/8/23,277,75,,1,1,1,1,1,1,1,1,1,1,0,1,1,4,3,4,1,1,2,2,0,Hybrid,1,1.0,1.0
6,YouTube Shorts,The Washington Post,Tlaib calls for Gaza cease-fire in impassioned speech (youtube.com),11/8/23,912,105,,1,1,1,1,0,0,0,1,0,0,0,1,1,1,2,2,1,2,1,3,1,Hybrid,1,1.0,0.75
7,YouTube Shorts,The Washington Post,"Hazardous air quality chokes India, Pakistan - YouTube",11/9/23,20,1,,1,1,1,1,1,1,1,1,1,0,0,1,1,3,3,3,-93,2,7,2,1,Hybrid,1,24.5,0.75
8,Instagram Reels,The Washington Post,It's better for your health to stop wasting food,11/1/23,2279,35,,99,1,1,1,1,0,0,0,0,0,0,1,1,3,4,3,-93,-93,7,5,0,Hybrid,1,24.5,24.5
9,Instagram Reels,The Washington Post,Biden's collabing with influencers,11/3/23,6799,580,,1,1,1,1,1,0,0,0,1,1,0,1,1,5,3,4,2,3,2,3,1,Hybrid,1,0.75,0.5
10,Instagram Reels,The Washington Post,Israel strikes ambulance near Gaza City hospital,11/3/23,13831,3046,,0,0,0,0,0,1,1,0,0,0,0,2,1,2,4,2,-93,-93,1,3,1,Hybrid,0,24.5,24.5
