Variable,Value,Mean,Standard Deviation
Likes,Hybrid,5783.026315789473,8603.679735978598
Likes,Legacy,5281.066666666667,7947.58579232944
Likes,SMonly,35076.96875,50672.90674224905
Comments,Hybrid,237.92105263157896,528.393351717641
Comments,Legacy,466.06666666666666,856.3217624932468
Comments,SMonly,682.125,991.543038286384
MediaIntegrity,Hybrid,3.5526315789473686,0.7951667654786407
MediaIntegrity,Legacy,3.8333333333333335,0.7466399831028444
MediaIntegrity,SMonly,2.84375,0.8838834764831843
Presentation,Hybrid,2.9473684210526314,0.8365750130677649
Presentation,Legacy,2.1666666666666665,0.7466399831028447
Presentation,SMonly,4.34375,0.7873751821205408
