Variable,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
Likes,MediaType,Hybrid,Legacy,False,True,-1.9417347665750386,465.24361584344905,two-sided,0.05277252584098479,0.15831757752295436,bonf,0.65,-0.15173697419584378
Likes,MediaType,Hybrid,SMonly,False,True,-3.3995779299499933,639.7950867091639,two-sided,0.0007168458585667845,0.002150537575700354,bonf,26.011,-0.18566942802178024
Likes,MediaType,Legacy,SMonly,False,True,-1.7792680316042042,804.7135641573544,two-sided,0.07557319943494631,0.22671959830483893,bonf,0.379,-0.11121164343725515
CharacterNum,MediaType,Hybrid,Legacy,False,True,1.6490113291253339,308.9191306788863,two-sided,0.10016181831705773,0.3004854549511732,bonf,0.393,0.16386865185198587
CharacterNum,MediaType,Hybrid,SMonly,False,True,0.5051718667268724,338.25699239036953,two-sided,0.6137671079948126,1.0,bonf,0.111,0.041211715853495916
CharacterNum,MediaType,Legacy,SMonly,False,True,-1.4456671748236787,788.0953412879423,two-sided,0.14866810566500088,0.44600431699500265,bonf,0.224,-0.09664354935315667
CommLength,MediaType,Hybrid,Legacy,False,True,-0.0634724725072314,329.40068501243695,two-sided,0.9494287775188248,1.0,bonf,0.105,-0.006167548138600822
CommLength,MediaType,Hybrid,SMonly,False,True,-1.1699777180374544,282.6206227334387,two-sided,0.24299561705831918,0.7289868511749575,bonf,0.19,-0.10573471687864552
CommLength,MediaType,Legacy,SMonly,False,True,-1.4375534340721416,671.3549909287037,two-sided,0.15102671792999398,0.4530801537899819,bonf,0.221,-0.10242494438066065
Sentiment,MediaType,Hybrid,Legacy,False,True,-4.913990999584532,366.7988441856854,two-sided,1.3476095753367258e-06,4.042828726010177e-06,bonf,1.002e+04,-0.46021301001461984
Sentiment,MediaType,Hybrid,SMonly,False,True,-5.248829268696387,262.77502178521945,two-sided,3.1586264420075415e-07,9.475879326022624e-07,bonf,5.201e+04,-0.4965809254860679
Sentiment,MediaType,Legacy,SMonly,False,True,0.3871080980664612,560.052514871799,two-sided,0.6988232364251779,1.0,bonf,0.087,0.029277877084473117
Focus,MediaType,Hybrid,Legacy,False,True,1.4241606684131236,360.06771164495194,two-sided,0.15526600745983263,0.46579802237949786,bonf,0.281,0.1344066597868501
Focus,MediaType,Hybrid,SMonly,False,True,1.1369413030062876,299.59759202073263,two-sided,0.256471346408511,0.769414039225533,bonf,0.183,0.0993468341419024
Focus,MediaType,Legacy,SMonly,False,True,-0.4874237803310647,650.754487572867,two-sided,0.6261221985638405,1.0,bonf,0.09,-0.03508260194040128
Alignment,MediaType,Hybrid,Legacy,False,True,-3.5341861688567553,208.68464400349663,two-sided,0.0005036613515058262,0.0015109840545174786,bonf,46.62,-0.4493182911440923
Alignment,MediaType,Hybrid,SMonly,False,True,-5.4517971945633645,153.8786762491055,two-sided,1.9440164901619664e-07,5.832049470485899e-07,bonf,1.243e+05,-0.6904895100807924
Alignment,MediaType,Legacy,SMonly,False,True,-1.8021964576401865,295.7683564365955,two-sided,0.07253254559571116,0.2175976367871335,bonf,0.524,-0.1856416856423278
