Variable,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
Likes,MediaType,Hybrid,Legacy,False,True,-1.9417347665750386,465.24361584344905,two-sided,0.05277252584098479,0.15831757752295436,bonf,0.65,-0.15173697419584378
Likes,MediaType,Hybrid,SMonly,False,True,-3.3995779299499933,639.7950867091639,two-sided,0.0007168458585667845,0.002150537575700354,bonf,26.011,-0.18566942802178024
Likes,MediaType,Legacy,SMonly,False,True,-1.7792680316042042,804.7135641573544,two-sided,0.07557319943494631,0.22671959830483893,bonf,0.379,-0.11121164343725515
Comments,Platform,Instagram Reels,TikTok,False,True,0.6899757890189517,82.0,two-sided,0.4921575913874716,1.0,bonf,0.28,0.14918373015882588
Comments,Platform,Instagram Reels,YouTube Shorts,False,True,2.5468644886994904,82.0,two-sided,0.012738767187523833,0.0382163015625715,bonf,3.649,0.5506725752993119
Comments,Platform,TikTok,YouTube Shorts,False,True,3.064120738550819,82.0,two-sided,0.0029541241930358553,0.008862372579107566,bonf,12.09,0.6625115963619297
MediaIntegrity,Platform,Instagram Reels,TikTok,False,True,0.6793662204867572,82.0,two-sided,0.4988190853645811,1.0,bonf,0.278,0.14688977284293375
MediaIntegrity,Platform,Instagram Reels,YouTube Shorts,False,True,0.434797644145489,82.0,two-sided,0.6648514502141805,1.0,bonf,0.247,0.09401016013927438
MediaIntegrity,Platform,TikTok,YouTube Shorts,False,True,-0.24367450185237816,82.0,two-sided,0.8080915219990098,1.0,bonf,0.234,-0.0526862995912064
Presentation,Platform,Instagram Reels,TikTok,False,True,-0.08568017396854515,82.0,two-sided,0.9319295220232569,1.0,bonf,0.228,-0.01852541517646442
Presentation,Platform,Instagram Reels,YouTube Shorts,False,True,0.2542337254931755,82.0,two-sided,0.7999514407683017,1.0,bonf,0.234,0.054969371541535576
Presentation,Platform,TikTok,YouTube Shorts,False,True,0.37576153125152134,82.0,two-sided,0.7080645357780728,1.0,bonf,0.242,0.08124561437438269
