Variable,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
Likes,Platform,Instagram Reels,TikTok,False,True,-2.6160546324176446,500.03969975816017,two-sided,0.00916418732118299,0.027492561963548972,bonf,2.274,-0.1916106664334549
Likes,Platform,Instagram Reels,YouTube Shorts,False,True,5.024223939668226,462.62375075051006,two-sided,7.233938769071656e-07,2.170181630721497e-06,bonf,1.683e+04,0.3187789008342252
Likes,Platform,TikTok,YouTube Shorts,False,True,4.937969091220486,386.15186437155717,two-sided,1.177157886556343e-06,3.531473659669029e-06,bonf,1.119e+04,0.3198820560521144
Comments,Platform,Instagram Reels,TikTok,False,True,0.6899757890189517,82.0,two-sided,0.4921575913874716,1.0,bonf,0.28,0.14918373015882588
Comments,Platform,Instagram Reels,YouTube Shorts,False,True,2.5468644886994904,82.0,two-sided,0.012738767187523833,0.0382163015625715,bonf,3.649,0.5506725752993119
Comments,Platform,TikTok,YouTube Shorts,False,True,3.064120738550819,82.0,two-sided,0.0029541241930358553,0.008862372579107566,bonf,12.09,0.6625115963619297
MediaIntegrity,Platform,Instagram Reels,TikTok,False,True,0.6793662204867572,82.0,two-sided,0.4988190853645811,1.0,bonf,0.278,0.14688977284293375
MediaIntegrity,Platform,Instagram Reels,YouTube Shorts,False,True,0.434797644145489,82.0,two-sided,0.6648514502141805,1.0,bonf,0.247,0.09401016013927438
MediaIntegrity,Platform,TikTok,YouTube Shorts,False,True,-0.24367450185237816,82.0,two-sided,0.8080915219990098,1.0,bonf,0.234,-0.0526862995912064
Presentation,Platform,Instagram Reels,TikTok,False,True,-0.08568017396854515,82.0,two-sided,0.9319295220232569,1.0,bonf,0.228,-0.01852541517646442
Presentation,Platform,Instagram Reels,YouTube Shorts,False,True,0.2542337254931755,82.0,two-sided,0.7999514407683017,1.0,bonf,0.234,0.054969371541535576
Presentation,Platform,TikTok,YouTube Shorts,False,True,0.37576153125152134,82.0,two-sided,0.7080645357780728,1.0,bonf,0.242,0.08124561437438269
