Variable,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
CommLikes,Publisher,CNN,GoodMorning BadNews,False,True,-2.428335048311637,174.91358740228796,two-sided,0.016181139781840617,0.24271709672760927,bonf,1.983,-0.29803328461963297
CommLikes,Publisher,CNN,NPR,False,True,3.0768986687962547,277.3060595671661,two-sided,0.0023008631442825275,0.03451294716423791,bonf,10.424,0.29314161943089795
CommLikes,Publisher,CNN,Tampa Bay Times,False,True,5.442587897238233,209.1202685057185,two-sided,1.4630798723060876e-07,2.1946198084591317e-06,bonf,1.076e+05,0.455610528009896
CommLikes,Publisher,CNN,UnderTheDeskNews,False,True,0.29928157841111597,359.3062496158135,two-sided,0.7648982457491664,1.0,bonf,0.118,0.03080238901317672
CommLikes,Publisher,CNN,Washington Post,False,True,4.621246201627218,222.39183859018397,two-sided,6.461662856071821e-06,9.692494284107732e-05,bonf,2676.835,0.4404845430172386
CommLikes,Publisher,GoodMorning BadNews,NPR,False,True,3.559022210157623,150.95375237108092,two-sided,0.0004979756308905186,0.007469634463357779,bonf,48.64,0.43081308601744284
CommLikes,Publisher,GoodMorning BadNews,Tampa Bay Times,False,True,4.250814542654221,146.00825425591105,two-sided,3.781335292906992e-05,0.0005672002939360488,bonf,580.949,0.4537121646149668
CommLikes,Publisher,GoodMorning BadNews,UnderTheDeskNews,False,True,2.524729527986841,185.09904261565381,two-sided,0.012418612760719695,0.1862791914107954,bonf,2.556,0.3000031683156819
CommLikes,Publisher,GoodMorning BadNews,Washington Post,False,True,4.0099649299360225,146.92190842619524,two-sided,9.630191420734101e-05,0.0014445287131101153,bonf,235.419,0.4993376776856367
CommLikes,Publisher,NPR,Tampa Bay Times,False,True,5.079582905505971,172.57344533958917,two-sided,9.746769336631491e-07,1.4620154004947237e-05,bonf,1.864e+04,0.48457829985631323
CommLikes,Publisher,NPR,UnderTheDeskNews,False,True,-2.3120181239670217,215.88547333714536,two-sided,0.021719303643361203,0.32578955465041803,bonf,1.524,-0.24713638729239187
CommLikes,Publisher,NPR,Washington Post,False,True,3.0132210075201282,234.6233429938265,two-sided,0.002868432831690799,0.043026492475361985,bonf,8.796,0.32595303362529876
CommLikes,Publisher,Tampa Bay Times,UnderTheDeskNews,False,True,-4.25724392635006,173.07269582377958,two-sided,3.386953319735087e-05,0.000508042997960263,bonf,605.428,-0.40433993859110956
CommLikes,Publisher,Tampa Bay Times,Washington Post,False,True,-4.157105046563955,192.37160781014978,two-sided,4.8491126079676315e-05,0.0007273668911951447,bonf,416.522,-0.37315789140360034
CommLikes,Publisher,UnderTheDeskNews,Washington Post,False,True,3.576414038562392,181.12100157678222,two-sided,0.00044683215060836045,0.006702482259125407,bonf,50.273,0.3905213803370955
CharacterNum,Publisher,CNN,GoodMorning BadNews,False,True,-0.8219894187243473,258.4235981946619,two-sided,0.4118406597229992,1.0,bonf,0.165,-0.09260992801825955
CharacterNum,Publisher,CNN,NPR,False,True,-0.9442287493184047,346.53811572326197,two-sided,0.3457106150144815,1.0,bonf,0.175,-0.09824384227852077
CharacterNum,Publisher,CNN,Tampa Bay Times,False,True,1.766003356622396,233.74828413038685,two-sided,0.07870065748008365,1.0,bonf,0.584,0.20060943990937535
CharacterNum,Publisher,CNN,UnderTheDeskNews,False,True,0.19665666167506285,376.7825597384261,two-sided,0.8442022571498581,1.0,bonf,0.116,0.02000896259669578
CharacterNum,Publisher,CNN,Washington Post,False,True,-0.5630696672671378,317.5491962954998,two-sided,0.5737847845447548,1.0,bonf,0.129,-0.05746861293626039
CharacterNum,Publisher,GoodMorning BadNews,NPR,False,True,0.020282846005397537,286.0500630148916,two-sided,0.9838318804019728,1.0,bonf,0.124,0.002306163846097452
CharacterNum,Publisher,GoodMorning BadNews,Tampa Bay Times,False,True,2.169909630390582,244.3883033135411,two-sided,0.0309775345908963,0.4646630188634445,bonf,1.292,0.25798979809390915
CharacterNum,Publisher,GoodMorning BadNews,UnderTheDeskNews,False,True,0.9708362799133108,253.68588283152442,two-sided,0.33255453214758957,1.0,bonf,0.194,0.11174883405910295
CharacterNum,Publisher,GoodMorning BadNews,Washington Post,False,True,0.20156657710447912,332.03418659148895,two-sided,0.8403790063491736,1.0,bonf,0.124,0.02163945582828749
CharacterNum,Publisher,NPR,Tampa Bay Times,False,True,2.4830884534172766,254.5709218623899,two-sided,0.013669638486538703,0.20504457729808054,bonf,2.501,0.28923766327094447
CharacterNum,Publisher,NPR,UnderTheDeskNews,False,True,1.1195345920114053,329.39915418278275,two-sided,0.2637278069507679,1.0,bonf,0.217,0.12048354738388324
CharacterNum,Publisher,NPR,Washington Post,False,True,0.20426075255475673,341.50604300851023,two-sided,0.8382714113033549,1.0,bonf,0.119,0.021118562209508612
CharacterNum,Publisher,Tampa Bay Times,UnderTheDeskNews,False,True,-1.5856002386233137,225.70676448228406,two-sided,0.11423003214185284,1.0,bonf,0.45,-0.1927948085804489
CharacterNum,Publisher,Tampa Bay Times,Washington Post,False,True,-1.8964031198508802,288.9722696615563,two-sided,0.05890401457244395,0.8835602185866592,bonf,0.74,-0.19620303442844408
CharacterNum,Publisher,UnderTheDeskNews,Washington Post,False,True,-0.7084592230245161,310.9408678015544,two-sided,0.479190894861966,1.0,bonf,0.148,-0.07262022085985297
CommLength,Publisher,CNN,GoodMorning BadNews,False,True,-1.6262592613666047,317.5632103163437,two-sided,0.1048863896647134,1.0,bonf,0.421,-0.17402226104034507
CommLength,Publisher,CNN,NPR,False,True,-0.11171019923589445,356.65858203814236,two-sided,0.9111160330366257,1.0,bonf,0.114,-0.011522226895972779
CommLength,Publisher,CNN,Tampa Bay Times,False,True,-0.4837288750452288,210.46653871652518,two-sided,0.6290812017014071,1.0,bonf,0.149,-0.05701086377567608
CommLength,Publisher,CNN,UnderTheDeskNews,False,True,-1.0250421927674713,361.57616138851205,two-sided,0.3060285503274378,1.0,bonf,0.188,-0.10536116961277482
CommLength,Publisher,CNN,Washington Post,False,True,-0.9061514855992718,394.95106220874146,two-sided,0.3654081567196207,1.0,bonf,0.165,-0.09050072271807885
CommLength,Publisher,GoodMorning BadNews,NPR,False,True,1.4054647865600742,316.7480697300636,two-sided,0.16086317957148516,1.0,bonf,0.317,0.15611511784354618
