Variable,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
Likes,Publisher,CNN,GoodMorning BadNews,False,True,-2.428335048311637,174.91358740228796,two-sided,0.016181139781840617,0.24271709672760927,bonf,1.983,-0.29803328461963297
Likes,Publisher,CNN,NPR,False,True,3.0768986687962547,277.3060595671661,two-sided,0.0023008631442825275,0.03451294716423791,bonf,10.424,0.29314161943089795
Likes,Publisher,CNN,Tampa Bay Times,False,True,5.442587897238233,209.1202685057185,two-sided,1.4630798723060876e-07,2.1946198084591317e-06,bonf,1.076e+05,0.455610528009896
Likes,Publisher,CNN,UnderTheDeskNews,False,True,0.29928157841111597,359.3062496158135,two-sided,0.7648982457491664,1.0,bonf,0.118,0.03080238901317672
Likes,Publisher,CNN,Washington Post,False,True,4.621246201627218,222.39183859018397,two-sided,6.461662856071821e-06,9.692494284107732e-05,bonf,2676.835,0.4404845430172386
Likes,Publisher,GoodMorning BadNews,NPR,False,True,3.559022210157623,150.95375237108092,two-sided,0.0004979756308905186,0.007469634463357779,bonf,48.64,0.43081308601744284
Likes,Publisher,GoodMorning BadNews,Tampa Bay Times,False,True,4.250814542654221,146.00825425591105,two-sided,3.781335292906992e-05,0.0005672002939360488,bonf,580.949,0.4537121646149668
Likes,Publisher,GoodMorning BadNews,UnderTheDeskNews,False,True,2.524729527986841,185.09904261565381,two-sided,0.012418612760719695,0.1862791914107954,bonf,2.556,0.3000031683156819
Likes,Publisher,GoodMorning BadNews,Washington Post,False,True,4.0099649299360225,146.92190842619524,two-sided,9.630191420734101e-05,0.0014445287131101153,bonf,235.419,0.4993376776856367
Likes,Publisher,NPR,Tampa Bay Times,False,True,5.079582905505971,172.57344533958917,two-sided,9.746769336631491e-07,1.4620154004947237e-05,bonf,1.864e+04,0.48457829985631323
Likes,Publisher,NPR,UnderTheDeskNews,False,True,-2.3120181239670217,215.88547333714536,two-sided,0.021719303643361203,0.32578955465041803,bonf,1.524,-0.24713638729239187
Likes,Publisher,NPR,Washington Post,False,True,3.0132210075201282,234.6233429938265,two-sided,0.002868432831690799,0.043026492475361985,bonf,8.796,0.32595303362529876
Likes,Publisher,Tampa Bay Times,UnderTheDeskNews,False,True,-4.25724392635006,173.07269582377958,two-sided,3.386953319735087e-05,0.000508042997960263,bonf,605.428,-0.40433993859110956
Likes,Publisher,Tampa Bay Times,Washington Post,False,True,-4.157105046563955,192.37160781014978,two-sided,4.8491126079676315e-05,0.0007273668911951447,bonf,416.522,-0.37315789140360034
Likes,Publisher,UnderTheDeskNews,Washington Post,False,True,3.576414038562392,181.12100157678222,two-sided,0.00044683215060836045,0.006702482259125407,bonf,50.273,0.3905213803370955
Comments,Platform,Instagram Reels,TikTok,False,True,0.6899757890189517,82.0,two-sided,0.4921575913874716,1.0,bonf,0.28,0.14918373015882588
Comments,Platform,Instagram Reels,YouTube Shorts,False,True,2.5468644886994904,82.0,two-sided,0.012738767187523833,0.0382163015625715,bonf,3.649,0.5506725752993119
Comments,Platform,TikTok,YouTube Shorts,False,True,3.064120738550819,82.0,two-sided,0.0029541241930358553,0.008862372579107566,bonf,12.09,0.6625115963619297
MediaIntegrity,Platform,Instagram Reels,TikTok,False,True,0.6793662204867572,82.0,two-sided,0.4988190853645811,1.0,bonf,0.278,0.14688977284293375
MediaIntegrity,Platform,Instagram Reels,YouTube Shorts,False,True,0.434797644145489,82.0,two-sided,0.6648514502141805,1.0,bonf,0.247,0.09401016013927438
MediaIntegrity,Platform,TikTok,YouTube Shorts,False,True,-0.24367450185237816,82.0,two-sided,0.8080915219990098,1.0,bonf,0.234,-0.0526862995912064
Presentation,Platform,Instagram Reels,TikTok,False,True,-0.08568017396854515,82.0,two-sided,0.9319295220232569,1.0,bonf,0.228,-0.01852541517646442
Presentation,Platform,Instagram Reels,YouTube Shorts,False,True,0.2542337254931755,82.0,two-sided,0.7999514407683017,1.0,bonf,0.234,0.054969371541535576
Presentation,Platform,TikTok,YouTube Shorts,False,True,0.37576153125152134,82.0,two-sided,0.7080645357780728,1.0,bonf,0.242,0.08124561437438269
